Timestamp,Model,Skema,Batch Size,Epochs,Training Accuracy,Validation Accuracy,Testing Accuracy,Training Loss,Validation Loss,Testing Loss,Training Duration (seconds),Training Duration (minutes),Trainable Percentage,Total Parameter
12/24/2024 3:55,MobileNetV3Small,MobileNet,32,50,98.39055538,87.25489974021912,75.93985199928284,0.05210425,0.2917914390563965,0.9246478080749512,822.0537497997284,13.7,30,1.120.115
12/24/2024 4:10,MobileNetV3Large,MobileNet,32,50,99.78540539741516,99.01960492134094,99.24812316894533,0.014685617,0.048525568,0.011282559,864.4074168205261,14.41,30,3.275.651
12/24/2024 4:21,EfficientNetV2B0,EN Original NT imagenet,32,30,98.60514998435974,100,95.48872113227844,0.044626813,0.02505029,0.1729457229375839,607.2624609470367,10.12,0,6.280.531
12/24/2024 4:33,EfficientNetV2B1,EN Original NT imagenet,32,30,99.03433322906494,100,99.24812316894533,0.038224276,0.014629634,0.046117518,695.6601946353912,11.59,0,7.292.343
12/24/2024 4:46,EfficientNetV2B2,EN Original NT imagenet,32,30,97.63948321342468,99.01960492134094,98.49624037742616,0.071292713,0.029945564,0.064372279,743.4915041923523,12.39,0,9.163.361
12/24/2024 5:01,EfficientNetV2B3,EN Original NT imagenet,32,30,97.74678349494934,100,98.49624037742616,0.051839795,0.025213042,0.03933442,859.4621772766113,14.32,0,13.357.377
12/24/2024 5:12,EfficientNetV2B0,EN Original 30%T imagenet,32,30,98.92703890800476,100,98.49624037742616,0.037013534,0.012879359,0.020969559,597.0343027114868,9.95,30,6.280.531
12/24/2024 5:22,EfficientNetV2B1,EN Original 30%T imagenet,32,30,98.60514998435974,99.01960492134094,95.48872113227844,0.047558941,0.033595406,0.1266446709632873,613.9649946689606,10.23,30,7.292.343
12/24/2024 5:34,EfficientNetV2B2,EN Original 30%T imagenet,32,30,98.81974458694458,100,96.99248075,0.042665139,0.005830307,0.05083596,654.8327003,10.91,30,9.163.361
12/24/2024 5:47,EfficientNetV2B3,EN Original 30%T imagenet,32,30,99.24892783164978,99.01960492134094,99.24812316894533,0.023010366,0.043488175,0.033078212,760.8928196430206,12.68,30,13.357.377
12/24/2024 5:57,EfficientNetV2B0,EN Original 100%T None,32,30,76.82403326034546,80.39215803146362,81.20300769805908,0.6204992532730103,0.5088211894035339,0.5303871035575867,563.6909272670746,9.39,100,6.280.531
12/24/2024 6:08,EfficientNetV2B1,EN Original 100%T None,32,30,81.00858330726624,87.25489974021912,85.71428656578064,0.481671542,0.3434380292892456,0.381562591,655.1985511779785,10.92,100,7.292.343
12/24/2024 6:20,EfficientNetV2B2,EN Original 100%T None,32,30,82.18883872032166,88.23529481887817,88.72180581092834,0.4990279972553253,0.3290395438671112,0.3029756247997284,688.1447355747223,11.47,100,9.163.361
12/24/2024 6:35,EfficientNetV2B3,EN Original 100%T None,32,30,73.92703890800476,75.49019455909729,82.70676732063293,0.646981955,0.5636125206947327,0.4913315176963806,846.3264043331146,14.11,100,13.357.377
12/24/2024 6:44,EfficientNetV2B0Modifikasi,EN Mod 100%T None,32,30,87.76823878288269,91.17646813,96.24060392,0.3150911033153534,0.244995117,0.1693688929080963,497.11772441864014,8.29,100,1.639.019
12/24/2024 6:55,EfficientNetV2B1Modifikasi,EN Mod 100%T None,32,30,86.90987229347229,91.17646813,87.96992301940918,0.3567107915878296,0.2862474322319031,0.2565142810344696,621.6446051597595,10.36,100,1.976.839
12/24/2024 7:06,EfficientNetV2B2Modifikasi,EN Mod 100%T None,32,30,86.90987229347229,92.15686321258544,89.47368264198303,0.3337243497371673,0.3013009130954742,0.3340345323085785,631.8546319007874,10.53,100,2.270.707
12/24/2024 7:18,EfficientNetV2B3Modifikasi,EN Mod 100%T None,32,30,86.69527769088745,88.23529481887817,90.22556543,0.3792460560798645,0.2887718975543976,0.2590934336185455,744.0434122085571,12.4,100,3.049.123
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
