,Unnamed: 0.1,Unnamed: 0,precision,recall,f1-score,support,Timestamp
0,0.0,angular_leaf_spot,0.589041095890411,0.9772727272727272,0.7350427350427351,44.0,2024-12-17 20:29:50
1,1.0,bean_rust,1.0,0.3777777777777777,0.5483870967741935,45.0,2024-12-17 20:29:50
2,2.0,healthy,0.9318181818181818,0.9111111111111112,0.9213483146067416,45.0,2024-12-17 20:29:50
3,3.0,accuracy,0.753731343283582,0.753731343283582,0.753731343283582,0.753731343283582,2024-12-17 20:29:50
4,4.0,macro avg,0.8402864259028643,0.7553872053872054,0.73492604880789,134.0,2024-12-17 20:29:50
5,5.0,weighted avg,0.842161391052211,0.753731343283582,0.7349251780150927,134.0,2024-12-17 20:29:50
6,6.0,,0.6666666666666666,1.0,0.8,44.0,2024-12-17 20:39:20
7,7.0,,1.0,0.5333333333333333,0.6956521739130435,45.0,2024-12-17 20:39:20
8,8.0,,0.9545454545454546,0.9333333333333332,0.9438202247191012,45.0,2024-12-17 20:39:20
9,9.0,,0.8208955223880597,0.8208955223880597,0.8208955223880597,0.8208955223880597,2024-12-17 20:39:20
10,10.0,,0.8737373737373737,0.8222222222222223,0.8131574662107148,134.0,2024-12-17 20:39:20
11,11.0,,0.8752826775214835,0.8208955223880597,0.8132556562570635,134.0,2024-12-17 20:39:20
12,,,0.8076923076923077,0.9545454545454546,0.875,44.0,2024-12-17 20:42:04
13,,,0.9024390243902439,0.8222222222222222,0.8604651162790697,45.0,2024-12-17 20:42:04
14,,,1.0,0.9111111111111111,0.9534883720930233,45.0,2024-12-17 20:42:04
15,,,0.8955223880597015,0.8955223880597015,0.8955223880597015,0.8955223880597015,2024-12-17 20:42:04
16,,,0.9033771106941839,0.895959595959596,0.8963178294573644,134.0,2024-12-17 20:42:04
17,,,0.9040911763882277,0.8955223880597015,0.8964769177368969,134.0,2024-12-17 20:42:04
