Timestamp,Model,Skema,Batch Size,Epochs,Training Accuracy,Validation Accuracy,Testing Accuracy,Training Loss,Validation Loss,Testing Loss,Training Duration (seconds),Training Duration (minutes),Trainable Percentage,Total Parameter
2024-12-24 08:20:29,EfficientNetV2B0Modifikasi,Delete Block 1,32,25,82.93991684913635,88.23529481887817,88.8059675693512,0.44587042927742,0.3467250764369964,0.2865545451641083,330.2952811717987,5.5,100,6.275.363
2024-12-24 08:28:29,EfficientNetV2B0Modifikasi,Delete Block 2,32,25,87.76823878288269,93.13725233078004,96.2686538696289,0.3192138969898224,0.1820712685585022,0.1655308157205581,349.250253200531,5.82,100,6.208.851
2024-12-24 08:35:02,EfficientNetV2B0Modifikasi,Delete Block 3,32,25,86.48068904876709,92.15686321258544,92.53731369972228,0.3691624402999878,0.2552736401557922,0.1880363821983337,332.9562680721283,5.55,100,6.140.627
2024-12-24 08:41:09,EfficientNetV2B0Modifikasi,Delete Block 4,32,25,83.79828333854675,93.13725233078004,85.8208954334259,0.3772157430648803,0.2567446231842041,0.3590716123580932,318.2966294288635,5.3,100,6.017.815
2024-12-24 08:47:56,EfficientNetV2B0Modifikasi,Delete Block 5,32,25,85.19313335418701,84.3137264251709,85.07462739944458,0.4042524099349975,0.3621443510055542,0.4013883769512176,302.70324993133545,5.05,100,5.308.555
2024-12-24 09:07:27,EfficientNetV2B0Modifikasi,Delete Block 6,32,25,82.61802792549133,92.15686321258544,86.56716346740723,0.3892058134078979,0.280696302652359,0.2729709446430206,283.73082304000854,4.73,100,1.901.735
2024-12-24 09:12:48,EfficientNetV2B0Modifikasi,Delete Block 4 & 5,32,25,83.2617998123169,89.21568393707275,93.2835817337036,0.3909206092357635,0.3254124820232391,0.1875637024641037,275.04003405570984,4.58,100,5.041.231
2024-12-24 09:18:56,EfficientNetV2B0Modifikasi,Delete Block 4 & 6,32,25,87.76823878288269,94.11764740943909,97.76119589805604,0.3079648315906524,0.2372421324253082,0.1541279256343841,265.15791058540344,4.42,100,1.639.019
2024-12-24 09:24:01,EfficientNetV2B0Modifikasi,Delete Block 5 & 6,32,25,84.87124443054199,91.1764681339264,91.79104566574097,0.4079333245754242,0.2551344931125641,0.2104090899229049,243.15077543258667,4.05,100,920.031
2025-01-05 12:21:43,EfficientNetV2B0Modifikasi,Delete Block 4 & 6,32,25,87.12446093559265,91.17646813392639,87.21804618835449,0.3370459973812103,0.23494741320610046,0.2674218416213989,554.6724865436554,9.24,100,1.639.019
