,Train Accuracy,Train Loss,Validation Accuracy,Validation Loss,Test Accuracy
mean,0.777457457780838,0.5513934969902039,0.7872386157512665,0.5402398437261582,75.41353344917297
std,0.015071060468475967,0.032625701627322694,0.04955692212917238,0.10951128662045621,6.046803865375956
