Fold,Total Parameters,Image Size,Train Accuracy,Train Loss,Validation Accuracy,Validation Loss,Test Accuracy
1,6.280.531,224,0.990604043006897,0.03210282698273659,0.9893048405647278,0.023590363562107086,97.74436354637146
2,6.280.531,224,0.9879194498062134,0.04393870756030083,0.9518716335296631,0.1259108930826187,99.24812316894531
3,6.280.531,224,0.9919571280479431,0.03149166330695152,0.9784946441650391,0.06658155471086502,97.74436354637146
1,6.280.531,224,0.9812080264091492,0.08623433113098145,0.9893048405647278,0.05356290563941002,96.24060392379761
2,6.280.531,224,0.9691275358200073,0.07976903766393661,0.9411764740943909,0.12053149193525314,97.74436354637146
3,6.280.531,224,0.9812332391738892,0.05359320715069771,0.9623655676841736,0.10468830913305283,97.74436354637146
